주소	입력주소	X	Y	CLSS	PNU	주소구분	표준신주소	표준구주소	우편번호
종로구 사직로 경복궁역 4번출구	서울특별시 종로구 사직로 경복궁역 4번출구	126.968936	37.575122	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 자하문로 자하문로 12	서울특별시 종로구 자하문로 자하문로 12	126.967432	37.588120	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 자하문로 자하문로 44	서울특별시 종로구 자하문로 자하문로 44	126.967432	37.588120	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 자하문로 효자동  정류소 ID : 01-112	서울특별시 종로구 자하문로 효자동  정류소 ID : 01-112	126.967432	37.588120	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 효자로 청와대 분수대 (사랑채)	서울특별시 종로구 효자로 청와대 분수대 (사랑채)	126.973469	37.578901	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 자하문로 경복궁역  정류소 ID : 01-115	서울특별시 종로구 자하문로 경복궁역  정류소 ID : 01-115	126.967432	37.588120	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 새문안로 새문안로 46 씨티은행	서울특별시 종로구 새문안로 새문안로 46 씨티은행	126.970282	37.569467	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 신문로 신문로2가 82 에스타워	서울특별시 종로구 신문로 신문로2가 82 에스타워	126.979231	37.573175	(도로명 없음)시구군 좌표	공개용버전 미지원	구주소	미지원	미지원	NULL
종로구 종로 세종대로 152 동아일보	서울특별시 종로구 종로 세종대로 152 동아일보	127.002822	37.571521	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 종로 종로 14 한국무역공사	서울특별시 종로구 종로 종로 14 한국무역공사	127.002822	37.571521	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 종로 종로 30-1 종로분식	서울특별시 종로구 종로 종로 30-1 종로분식	127.002822	37.571521	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 종로 종로 68 대한기독교서회	서울특별시 종로구 종로 종로 68 대한기독교서회	127.002822	37.571521	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 종로 종로 78 미려빌딩	서울특별시 종로구 종로 종로 78 미려빌딩	126.986000	37.569891	정좌표	공개용버전 미지원	새주소	미지원	미지원	03190
종로구 삼일대로 삼일대로 버스정류장	서울특별시 종로구 삼일대로 삼일대로 버스정류장	126.987431	37.573724	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 삼일대로 삼일대로 버스정류장	서울특별시 종로구 삼일대로 삼일대로 버스정류장	126.987431	37.573724	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 종로 종로 83 종각귀금속	서울특별시 종로구 종로 종로 83 종각귀금속	127.002822	37.571521	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 종로 종로 69 우리은행	서울특별시 종로구 종로 종로 69 우리은행	127.002822	37.571521	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 종로 인사동14길 관광안내소	서울특별시 종로구 종로 인사동14길 관광안내소	127.002822	37.571521	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 삼일대로 인사동 남인사입구	서울특별시 종로구 삼일대로 인사동 남인사입구	126.987431	37.573724	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 율곡로 율곡로38 방범순찰대	서울특별시 종로구 율곡로 율곡로38 방범순찰대	126.996948	37.576499	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 삼일대로 삼일대로 467 노인복지센터	서울특별시 종로구 삼일대로 삼일대로 467 노인복지센터	126.987431	37.573724	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 종로 종로1길 55 열린마당	서울특별시 종로구 종로 종로1길 55 열린마당	127.002822	37.571521	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 세종대로 사직동 142 세종로공원	서울특별시 종로구 세종대로 사직동 142 세종로공원	126.977096	37.572824	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 세종대로 세종대로 175  세종문화회관	서울특별시 종로구 세종대로 세종대로 175  세종문화회관	126.977096	37.572824	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 세종대로 광화문역 7번출구	서울특별시 종로구 세종대로 광화문역 7번출구	126.977096	37.572824	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 신문로 신문로2가 103-1  삼원약국	서울특별시 종로구 신문로 신문로2가 103-1  삼원약국	126.979231	37.573175	(도로명 없음)시구군 좌표	공개용버전 미지원	구주소	미지원	미지원	NULL
